id,Domain,Difficulty level,Questions,Answers
1,SQL,Easy,"What does SQL stand for, and what is its primary purpose?",SQL stands for Structured Query Language. Its primary purpose is to manage and manipulate relational databases.
2,SQL,Easy,What is a database schema?,"A database schema is a blueprint that defines the structure of a database, including tables, fields, relationships, constraints, and indexes."
3,SQL,Easy,"Explain the difference between a table, a record, and a field in a database context.","Table : A Table is A collection of data organized in rows and columns. - Record: Also known as A row, it represents A single instance of data in A table. - Field: Also known as A column, it represents A specific attribute or characteristic of the data."
4,SQL,Easy,What is a primary key in a database table?,A primary key is a unique identifier for each record in a table. It ensures that each row in a table can be uniquely identified and is used to enforce entity integrity.
5,SQL,Easy,"Define the term ""foreign key"" and its significance in relational databases.",A foreign key is a column or a set of columns in a table that establishes a link between data in two tables. It enforces referential integrity by ensuring that the values in the foreign key column(s) correspond to values in the primary key of another table.
6,SQL,Easy,What is the purpose of the SELECT statement in SQL?,"The SELECT statement is used to retrieve data from one or more tables in a database. It allows users to specify which columns to retrieve, filter rows based on specified criteria, and sort the result set."
7,SQL,Easy,Explain the role of the WHERE clause in a SQL query.,The WHERE clause is used to filter rows returned by a SELECT statement. It specifies a condition that must be met for a row to be included in the result set. Rows that do not satisfy the condition are excluded from the output.
8,SQL,Easy,What are the basic data types available in SQL?,"Basic data types in SQL include INTEGER, FLOAT (or REAL), VARCHAR (or CHAR), DATE, TIME, and BOOLEAN."
9,SQL,Easy,What is the difference between the CHAR and VARCHAR data types?,"CHAR: it stores fixed-length character data, padding any unused space with spaces. - VARCHAR: it stores variable-length character data, using only the space needed for the actual data without padding."
10,SQL,Easy,How do you add a new record to a table in SQL?,"To add a new record to a table in SQL, you use the INSERT INTO statement followed by the table name and the values to be inserted into each column."
11,SQL,Easy,Explain the concept of data integrity in databases.,"Data integrity ensures the accuracy, consistency, and reliability of data stored in a database. It is maintained through various constraints, such as primary keys, foreign keys, unique constraints, and check constraints, which enforce rules and prevent invalid data entry or modification."
12,SQL,Easy,What is a SQL constraint? Provide examples.,A SQL constraint is a rule that is enforced on data in a table. Examples include: - PRIMARY KEY constraint - FOREIGN KEY constraint - UNIQUE constraint - NOT NULL constraint - CHECK constraint
13,SQL,Easy,What is the purpose of the GROUP BY clause in SQL?,"The GROUP BY clause is used to group rows that have the same values into summary rows, typically used with aggregate functions (e.g., COUNT, SUM, AVG). It divides the rows returned by a SELECT statement into groups based on the values of one or more columns."
14,SQL,Easy,What does the ORDER BY clause do in a SQL query?,"The ORDER BY clause is used to sort the result set of a SELECT statement based on one or more columns. It can sort the result set in ascending (ASC) or descending (DESC) order. If not specified, ASC is the default sorting order."
15,SQL,Easy,What is the purpose of the DISTINCT keyword in SQL queries?,"The DISTINCT keyword is used to eliminate duplicate rows from the result set of a SELECT statement. It returns only unique values for the specified columns, removing any duplicate values that may be present in the data."
